uid,home,away,start_msk,start_utc,text_url,source
897491,"Локомотив","Трактор","2025-09-05T19:30:00+03:00","2025-09-05T16:30:00+00:00","https://text.khl.ru/text/897491.html","text"
897494,"ЦСКА","Динамо М","2025-09-06T12:48:00+03:00","2025-09-06T09:48:00+00:00","https://text.khl.ru/text/897494.html","text"
897495,"Драконы","СКА","2025-09-06T14:49:00+03:00","2025-09-06T11:49:00+00:00","https://text.khl.ru/text/897495.html","text"
897493,"Торпедо","Салават Юлаев","2025-09-06T15:22:00+03:00","2025-09-06T12:22:00+00:00","https://text.khl.ru/text/897493.html","text"
897492,"Металлург Мг","Ак Барс","2025-09-06T21:49:00+03:00","2025-09-06T18:49:00+00:00","https://text.khl.ru/text/897492.html","text"
897496,"Барыс","Трактор","2025-09-07T08:09:00+03:00","2025-09-07T05:09:00+00:00","https://text.khl.ru/text/897496.html","text"
897499,"Сибирь","Амур","2025-09-07T13:30:00+03:00","2025-09-07T10:30:00+00:00","https://text.khl.ru/text/897499.html","text"
897498,"Нефтехимик","Северсталь","2025-09-07T21:41:00+03:00","2025-09-07T18:41:00+00:00","https://text.khl.ru/text/897498.html","text"
897497,"Спартак","ХК Сочи","2025-09-07T23:06:00+03:00","2025-09-07T20:06:00+00:00","https://text.khl.ru/text/897497.html","text"
897501,"Авангард","Ак Барс","2025-09-08T04:37:00+03:00","2025-09-08T01:37:00+00:00","https://text.khl.ru/text/897501.html","text"
897500,"Торпедо","СКА","2025-09-08T06:51:00+03:00","2025-09-08T03:51:00+00:00","https://text.khl.ru/text/897500.html","text"
897502,"Лада","Автомобилист","2025-09-08T08:52:00+03:00","2025-09-08T05:52:00+00:00","https://text.khl.ru/text/897502.html","text"
897504,"Металлург Мг","Салават Юлаев","2025-09-08T14:18:00+03:00","2025-09-08T11:18:00+00:00","https://text.khl.ru/text/897504.html","text"
897503,"Драконы","Адмирал","2025-09-08T19:44:00+03:00","2025-09-08T16:44:00+00:00","https://text.khl.ru/text/897503.html","text"
897509,"Нефтехимик","Трактор","2025-09-09T01:16:00+03:00","2025-09-08T22:16:00+00:00","https://text.khl.ru/text/897509.html","text"
897506,"Спартак","Динамо Мн","2025-09-09T09:09:00+03:00","2025-09-09T06:09:00+00:00","https://text.khl.ru/text/897506.html","text"
897505,"Барыс","Амур","2025-09-09T20:51:00+03:00","2025-09-09T17:51:00+00:00","https://text.khl.ru/text/897505.html","text"
897508,"Динамо М","ХК Сочи","2025-09-09T21:35:00+03:00","2025-09-09T18:35:00+00:00","https://text.khl.ru/text/897508.html","text"
897507,"Локомотив","Северсталь","2025-09-09T21:55:00+03:00","2025-09-09T18:55:00+00:00","https://text.khl.ru/text/897507.html","text"
897510,"Ак Барс","Автомобилист","2025-09-10T04:31:00+03:00","2025-09-10T01:31:00+00:00","https://text.khl.ru/text/897510.html","text"
897511,"ЦСКА","Адмирал","2025-09-10T14:00:00+03:00","2025-09-10T11:00:00+00:00","https://text.khl.ru/text/897511.html","text"
897515,"Спартак","Северсталь","2025-09-11T11:39:00+03:00","2025-09-11T08:39:00+00:00","https://text.khl.ru/text/897515.html","text"
897514,"Металлург Мг","Динамо М","2025-09-11T17:00:00+03:00","2025-09-11T14:00:00+00:00","https://text.khl.ru/text/897514.html","text"
897512,"Авангард","Амур","2025-09-11T21:16:00+03:00","2025-09-11T18:16:00+00:00","https://text.khl.ru/text/897512.html","text"
